org_study_id,nct_id,brief_title,official_title,overall_status,start_date,completion_date.text,completion_date..attrs,completion_date_type,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.affiliation,phase,study_type,enrollment.text,enrollment..attrs,primary_condition,primary_outcome,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date,overall_official.last_name.1,overall_official.role.1,overall_official.affiliation.1,enrollment,primary_outcome.measure,primary_outcome.measure.1,sponsors.collaborator.agency,sponsors.collaborator.agency_class,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,name,primary_outcome.time_frame,primary_outcome.time_frame.1,primary_outcome.measure.2,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,primary_outcome.measure.3,primary_outcome.measure.4,primary_outcome.measure.5,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,primary_outcome.description,overall_official.last_name.2,overall_official.role.2,overall_official.affiliation.2,overall_official.last_name.3,overall_official.role.3,overall_official.affiliation.3,primary_outcome.measure.6,primary_outcome.measure.7,measure,eligibility.sampling_method,eligibility.textblock.1,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.description.1,primary_outcome.time_frame.2,primary_outcome.description.2,primary_outcome.time_frame.3,primary_outcome.description.3,start_date.text,start_date..attrs,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.time_frame.5,primary_outcome.description.5,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,address.city,primary_outcome.measure.12,primary_outcome.time_frame.12,eligibility.gender_based,eligibility.gender_description,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9
PIC/INSSA/UPB-01,NCT01255605,Impact of IPT With Sulfadoxin Pyrimetamin on Pregnant Women and Their Babies Outcomes in Peri-urban Areas of Bobo-Dioulasso(Burkina Faso),"Impact of Intermittent Preventive Treatment (IPT) With Sulfadoxine-pyrimethamine (SP) on the Morbidities Associated With Malaria in Pregnant Women and Newborns in Peri-urban Areas of Bobo-Dioulasso, 5 Years After Its Adoption by the National Program for Fight Against Malaria in Burkina Faso.",Completed,September 2010,June 2011,Actual,Actual,Université Polytechnique de Bobo-Dioulasso,"Mamoudou Cisse, MD",Principal Investigator,Centre MURAZ Research Institute,N/A,Observational,772,Actual,"Malaria, Pregnancy",NA,Female,N/A,N/A,No,Université Polytechnique de Bobo-Dioulasso,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Peripheral and placental malaria,NA,NA,NA,NA,NA,Institut Supérieur des Sciences de la Santé/Université Polytechnique de Bobo-Dioulasso,Peripheral malaria : at antenatal clinics and at delivery. Placental malaria: at delivery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The investigators will check if pregnant women have any malaria parasites by making a finger prick thick respectively at antenatal clinics and at delivery. A placental thin smear will be made at delivery.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Probability Sample,"
        Inclusion Criteria:

          -  Residing in the health area of Lafiabougou or secteur 24

          -  Having agreed to give free and informed consent

        Exclusion Criteria:

          -  Bleeding from during the pregnancy

          -  eclampsia
      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUD 6/025,NCT00646126,Antimalarial Treatments for Clearing Low Density P. Falciparum and Its Impact on Malaria Transmission,Validation of the Use of Istope-Based Molecular Techniques for Malaria Control,Completed,August 2005,NA,NA,NA,Tropical Medicine Research Institute,"Badria B El Sayed, PhD,MSc,BSc",Principal Investigator,Tropical Medicine Research Institute,Phase 3,Interventional,NA,NA,Plasmodium Falciparum; Asymptomatic Parataemia; Sub Patent Parasitaemia,NA,All,1 Year,N/A,Accepts Healthy Volunteers,Tropical Medicine Research Institute,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Parsitaemia detected during the transmission season among dry season PCR negative persons in the intervention and control villages,NA,London School of Hygiene and Tropical Medicine,Other,International Atomic Energy Agency,Other,Tropical Medicine Research Institute,October to December 2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF2003,NCT00687895,Improved Clinical and Microscopy Diagnosis at Primary Health Care in Tanzania,Quality Malaria Case Management In Under- Fives In Primary Health Care (Phc) Institutions In Bagamoyo And Kibaha Districts Of Coastal Tanzania:a Multicomponent Controlled Intervention Study,Completed,July 2003,March 2004,Actual,Actual,Muhimbili University of Health and Allied Sciences,"Anders Bjorkman, MD",Study Director,Karolinska Institutet,Phase 4,Interventional,3131,Actual,Malaria,NA,All,6 Months,59 Months,No,Muhimbili University of Health and Allied Sciences,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,the proportion of study children receiving prescriptions of antimalarial drugs in the respective arms,NA,Karolinska Institutet,Other,NA,NA,dispensaries/health centers in Kibaha and Bagamoyo,Day 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epicentre/Nig/2010/PaluMadaua,NCT01204411,"Efficacy of Artesunate-amodiaquine (AS-AQ) in Children With Malaria and Severe Acute Malnutrition, Madaoua, Niger 2010","Efficacy of the Artesunate-amodiaquine Combination for Treatment of Uncomplicated Plasmodium Falciparum Malaria in Children Between 6 and 59 Months of Age With Severe Acute Malnutrition in Madaoua, Tahoua Region, Niger",Withdrawn,NA,NA,NA,NA,Epicentre,"Francesco Grandesso, MSc",Principal Investigator,Epicentre,Phase 4,Interventional,0,Actual,"Malaria, Falciparum; Malnutrition; Child",NA,All,6 Months,59 Months,No,Epicentre,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,To measure the PCR adjusted clinical and parasitological efficacy of the artesunate-amodiaquine combination in children 6-59 months of age with severe malnutrition and uncomplicated P. falciparum malaria over a period of 42 days.,NA,"Medecins Sans Frontieres, Spain",Other,NA,NA,Integrated health centre (CSI),42 day follow-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIGHTMAL,NCT01214876,Correlating Protection Against Malaria With Serum Profiles Against Plasmodium Falciparum Antigen Repertoires,NA,Completed,August 2010,March 2011,Actual,Actual,Radboud University,NA,NA,NA,N/A,Observational,500,Anticipated,Malaria; Schistosomiasis; Hiv Infection,NA,All,1 Year,N/A,Accepts Healthy Volunteers,Radboud University,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Immune correlates of protection against clinical malaria episodes with plasmodium falciparum,NA,London School of Hygiene and Tropical Medicine,Other,Medical Biotech Laboratories,Other,Medical Biotech Laboratories,NA,NA,NA,University Of Perugia,Other,NA,NA,NA,Imperial College London,Other,Microtest Matrices Ltd,Other,"IMMUNE RESPONSES: protein array.
CLINICAL MALARIA EPISODES: (reported) fever with i) P. falciparum parasites; ii) ... at a density >=5,000 parasites/ul; iii) ... at a density >=10,000 parasites/ul IMMUNOLOGICALLY PROTECTED INDIVIDUALS: parasitaemic during follow-up without reporting to the health facility with indicators of a clinical malaria episode",NA,NA,NA,NA,NA,NA,NA,NA,NA,Probability Sample,"
        Inclusion Criteria:

          -  age 1-5 years, 6-10 years or 25 yearsand above

          -  written informed consent must be given

          -  the individual must have been resident of the area since birth or for a minimum period
             of two years

          -  the individual must be willing to submit required information and to participate in
             repeated sampling (total blood volume ~2.5 mL over a period of 12 months)

          -  Absence of danger signs (as defined by WHO) or clinical features of AIDS. An HIV-test
             will be offered to all participants at enrolment and completion of the study.

        Exclusion Criteria:

          -  unwillingness to sign consent form

          -  unwillingness to reside in the study area during the follow-up period
      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WRAIR # 1737,NCT01280162,Malaria Active Epidemiology and Treatment Study,An Active Malaria Epidemiology Cohort Study With Evaluation of a 2 Day Versus 3 Day Treatment Regimen of DHA-Piperaquine for Patients With Uncomplicated Malaria,Completed,September 2010,December 2012,Actual,Actual,"Armed Forces Research Institute of Medical Sciences, Thailand","David Saunders, MD, MPH",Principal Investigator,USAMC-AFRIMS,N/A,Interventional,222,Actual,Malaria,NA,All,18 Years,65 Years,Accepts Healthy Volunteers,"Armed Forces Research Institute of Medical Sciences, Thailand",Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Comparative efficacy.,NA,United States Army Medical Materiel Development Activity,U.S. Fed,NA,NA,Oddar Meancheay,4-5 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comparative rates of malaria recurrence between the 2 and 3 day DP regimens at 42 days after treatment of malaria infection, diagnosed by positive PCR-corrected malaria microscopy.",NA,NA,NA,NA,NA,NA,NA,NA,Comparative efficacy.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAC044,NCT01351948,"Safety and Immunogenicity of Malaria Vaccines AdCh63 AMA1, MVA AMA1 and AMA1-C1/Alhydrogel®+/- CPG 7909","A Phase Ia Study to Assess the Safety and Immunogenicity of Novel Schedules for Vaccination With the Candidate Malaria Vaccines; AdCh63 AMA1, MVA AMA1 & AMA1-C1/Alhydrogel® +/- CPG 7909",Completed,June 2011,March 2013,Actual,Actual,University of Oxford,"Adrian VS Hill, D.Phil, FRCP",Principal Investigator,"The Jenner Institute, University of Oxford",Phase 1,Interventional,35,Actual,Malaria,NA,All,18 Years,50 Years,Accepts Healthy Volunteers,University of Oxford,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Safety of vaccination,NA,National Institute of Allergy and Infectious Diseases (NIAID),NIH,NA,NA,"Centre for Clinical Vaccinology and Tropical Medicine, Churchill Hospital, Old Road, Headington",Expected average of 12 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"To assess the safety of vaccination of healthy adults with AdCh63 AMA1, MVA AMA1 & AMA1-C1/Alhydrogel® +/- CPG 7909 administered in various schedules using actively and passively collected data on adverse events",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARAMF_L_02661,NCT00699920,Cohort Study in Uganda Comparing Artesunate + Amiodaquine (Coarsucam) Versus Artemether + Lumenfantrine (Coartem) in the Treatment of Repeated Uncomplicated Plasmodium Falciparum Malaria Attacks,"A Randomised Study to Compare a Fixed Dose Combination of Artesunate Plus Amiodaquine (Coarsucam) Versus a Fixed Dose Combination of Artemether Plus Lumefantrine (Coartem) in the Treatment of Repeated Uncomplicated Plasmodium Falciparum Malaria Attacks Occurring During the 2 Years of Follow-up, in Children in Uganda.",Completed,June 2008,June 2010,Actual,Actual,Sanofi,Valerie Lemeyre,Study Director,Sanofi,Phase 4,Interventional,413,Actual,Malaria,NA,All,6 Months,59 Months,No,Sanofi,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,PCR corrected and uncorrected clinical and parasitological cure rate,NA,NA,NA,NA,NA,Sanofi-aventis administrative office,At Day 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07-0548-AE,NCT00707200,The Cytoadherence in Pediatric Malaria (CPM) Study,Clinical Outcomes in Pediatric Plasmodium Falciparum Malaria According to Host Cytoadherence Factors,Completed,October 2007,November 2009,Actual,Actual,"University Health Network, Toronto","Nicolette Nabukeera-Barungi, MBChB, MMEd",Study Director,Mulago Hospital/Makerere University (lead local investigator),N/A,Observational,2000,Anticipated,Plasmodium Falciparum Malaria,NA,All,6 Months,12 Years,No,"University Health Network, Toronto",Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Combined severe morbidity & mortality,NA,University of Toronto,Other,NA,NA,Mulago Hospital Acute Care Unit & Makerere University Department of Paediatrics & Child Health,Discharge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Probability Sample,"
        Inclusion Criteria:

          -  Clinical diagnosis of Plasmodium falciparum malaria infection

        Exclusion Criteria:

          -  HIV or significant malnutrition
      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST3073/ST3074-DM09-007,NCT01222949,A Pharmacokinetic (PK) Trial in Healthy Asian and Caucasian Volunteers Investigating the PK Profile of Eurartesim™,"A Phase I, Pharmacokinetic Trial, in Healthy Asian and Caucasian Volunteers for Investigating the Pharmacokinetic Profiles of Eurartesim™ (40 mg Dihydroartemisinin (DHA)/320 mg Piperaquine (PQ) Phosphate.",Completed,February 2010,August 2010,Actual,Actual,sigma-tau i.f.r. S.p.A.,NA,NA,NA,Phase 1,Interventional,80,Actual,"Malaria, Falciparum",NA,All,18 Years,50 Years,Accepts Healthy Volunteers,sigma-tau i.f.r. S.p.A.,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,"PK: tmax, Cmax, AUC0-12(DHA), AUC0-24(PQ), AUC0-inf, λz, t1/2",NA,"CPR Pharma Services Pty Ltd, Australia",Industry,NA,NA,NA,During the first and last day of drug administration (day 0 and 2) and followed up till Day 90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DHA evaluation: At pre-dose on day Day 0 and Day 2 and then at 0.5, 1, 1.5, 2, 2.5, 3, 4, 5, 6, 8, 10, and 12 hours post-dose.
PQ evaluation: At pre-dose Day 0 and then at 1, 2, 3, 4, 5, 6, 8, 12, and 16 hours post-dose; then at pre-dose Day 1 and Day 2 and finally at 1, 2, 3, 4, 5, 6, 8, 12, and 16 hours post-dose on day 2; on Day 3, 4, 5, 7, 14, 21, 28, 42, 56 and 90.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST3073/ST3074-DM09-008,NCT01222962,Food Interaction Study on the Pharmacokinetics of Eurartesim™ (DHA and PQP)in Healthy Male Adult Volunteers,Study of the Effect of Food on the Pharmacokinetics of DHA and PQP After Single Oral Administration of Eurartesim™ in Healthy Male Adult Volunteers,Completed,March 2010,June 2010,Actual,Actual,sigma-tau i.f.r. S.p.A.,NA,NA,NA,Phase 1,Interventional,37,Actual,"Malaria, Falciparum",NA,Male,18 Years,50 Years,Accepts Healthy Volunteers,sigma-tau i.f.r. S.p.A.,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,"tmax, Cmax, AUC0-last, AUC0-24 [PQ], and AUC0-inf, λz, t1/2, Cl/F, Vz/F [DHA].",NA,"CPR Pharma Services Pty Ltd, Australia",Industry,NA,NA,"CMAX, a division of IDT Australia Limited","from the day of study drug administration, till Day 7 follow-up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blood samples for determination of plasma DHA were collected at the following times: At pre-dose Day 0 and then at 0.5, 1, 1.5, 2, 2.5, 3, 4, 5, 6, 8, 10, and 12 hours post-dose.
Blood samples for determination of plasma PQ were collected at the following times: At pre-dose Day 0 and then at 1, 2, 3, 4, 5, 6, 8, and 12 hours post-dose; on Day 1, 2, 3, 4, 5 and 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAL-V-A001,NCT01397227,"A Study to Assess the Immunogenicity, Tolerability and Safety of a Malaria Vaccine and Also Its Protective Efficacy in a Malaria Challenge Model","A Phase I/IIa, Double-blind, Randomized, Placebo-controlled, Dose-escalation Clinical Study Evaluating Safety, Tolerability and Immunogenicity of Two Dose Levels of Recombinant Adenoviral Serotype Ad35 and Serotype Ad26 Vectors Expressing the Malaria Plasmodium Falciparum Circumsporozoite Antigen Administered as Heterologous Prime-boost Regimen, and Assessing Protective Efficacy of the Higher Dose in a Malaria Challenge Model in Unblinded Conditions",Completed,June 2011,May 2012,Actual,Actual,Crucell Holland BV,"Angela Talley, MD",Principal Investigator,Seattle Biomedical Research Institute,Phase 1/Phase 2,Interventional,36,Actual,Malaria,NA,All,18 Years,50 Years,Accepts Healthy Volunteers,Crucell Holland BV,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Solicited local and systemic adverse events (AEs),Unsolicited AEs,The PATH Malaria Vaccine Initiative (MVI),Other,Seattle Biomedical Research Institute,Other,Malaria Clinical Trials Center at Seattle Biomedical Research Institute,For 7 days after each vaccination and at each visit during the challenge period,At each visit during the vaccination period,Vital signs,NA,NA,Changes in laboratory parameters from baseline to end of vaccination phase,NA,NA,NA,NA,NA,NA,Type and frequency of solicited local and systemic AEs to be recorded. Solicited AEs in the challenge period are collected via a reactogenicity checklist during study visits. Solicited AEs in the vaccination period are collected via a Subject Diary.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type and frequency of unsolicited AEs to be recorded,"Before and after each vaccination during the vaccination period, before and after malaria challenge and at each visit during the challenge period","Temperature (oral), pulse, respiratory rate, blood pressure and pulse oximetry will be measured","Screening/baseline, 7 days after each vaccination, and Days 101 and 115 of the challenge period","Assessment made on the changes in each laboratory parameter from baseline to the end of the vaccination phase at each time point. Parameters measured:
Biochemistry: glucose, potassium, creatinine, γ-glutamyl transferase, alanine aminotransferase, aspartate aminotransferase, alkaline phosphatase, total bilirubin, C-reactive protein and erythrocyte sedimentation rate.
Hematology: hemoglobin, hematocrit, white blood cell count, white blood cell differential, red blood cell count and platelet count.
Urinalysis: leucocytes, blood, protein, ketones and glucose (by dipstick).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5911,NCT01403350,Cluster Randomised Trial of Malaria RDTs Used by CHWs in Afghanistan,Effectiveness of Community Level Deployment of Rapid Diagnostic Tests for Malaria in Afghanistan: Cluster Randomised Trial,Completed,February 2012,August 2012,Actual,Actual,London School of Hygiene and Tropical Medicine,"Toby Leslie, PhD",Principal Investigator,LSHTM,Phase 4,Interventional,2421,Actual,Malaria; Fever; Acute Febrile Illness; Pneumonia,NA,All,N/A,N/A,No,London School of Hygiene and Tropical Medicine,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Proportion of cases correctly treated,NA,Health Protection and Research Organisation,Other,HealthNet TPO,Other,NA,Outcomes measured during consultation - approximately 30-40 minutes,NA,NA,Medical Emergency Relief International,Other,NA,NA,NA,NA,NA,NA,NA,"Correctly treated defined as:
Those with PCR positive blood sample given an appropriate antimalarial; Those with PCR negative blood sample not given any antimalarial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCOA566A2403,NCT00709969,Evaluation of Safety and Efficacy of Artemether-Lumefantrine Tablets in African Infants and Children With Uncomplicated P. Falciparum Malaria,"Open Label, Multicenter Study for Evaluation of Safety and Efficacy of Artemether-Lumefantrine Tablets (6-Dose Regimen) in African Infants and Children in the Treatment of Acute Uncomplicated Falciparum Malaria",Completed,July 2002,February 2003,Actual,Actual,Novartis,Novartis,Study Chair,Novartis Pharmaceuticals,Phase 3,Interventional,310,Actual,Plasmodium Falciparum Malaria,NA,All,N/A,N/A,NA,Novartis,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,"Adverse events, SAEs; hematology and biochemistry parameters; electrocardiogram; urine values; vital signs; physical neurological examinations; and neurological examinations",NA,World Health Organization,Other,Avenue Appia 20,Other,NA,28 days,NA,NA,CH - 1211 Geneva 27,Other,NA,NA,NA,Switzerland,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMA-1_1_03,NCT00730782,Assessment of Three Formulations of the Candidate Vaccine AMA 1 in Healthy Dutch Adult Volunteers,"Assessment of the Safety and Immunogenicity of Three Formulations of the Recombinant Pichia Pastoris Apical Membrane Antigen 1 (PfAMA-1-FVO[25-545]), Blood-Stage Malaria Vaccine in Healthy Dutch Adult Volunteers : a Phase 1, Single- Blind, Randomised, Dose-Escalating, Unicentre Trial",Completed,November 2005,August 2008,Actual,Actual,European Malaria Vaccine Initiative,"Robert Sauerwein, Prof. MD",Principal Investigator,Radboud University,Phase 1,Interventional,56,Actual,Plasmodium Falciparum Malaria,NA,Male,18 Years,45 Years,Accepts Healthy Volunteers,European Malaria Vaccine Initiative,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Local and systemic reactogenicity,NA,Radboud University,Other,Biomedical Primate Research Centre,Other,NA,Day 0-14 after each vaccination,NA,NA,GlaxoSmithKline,Industry,NA,NA,NA,"SEPPIC, Paris",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
