org_study_id,nct_id,brief_title,official_title,overall_status,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.last_name.1,overall_official.role.1,phase,study_type,enrollment,primary_condition,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date.text,completion_date..attrs,completion_date_type,overall_official.last_name.2,overall_official.role.2,overall_official.last_name.3,overall_official.role.3,start_date,overall_official.affiliation,sponsors.collaborator.agency,sponsors.collaborator.agency_class,completion_date,primary_outcome,enrollment.text,enrollment..attrs,eligibility.sampling_method,eligibility.textblock.1,name,overall_official.affiliation.1,overall_official.affiliation.2,primary_outcome.measure,primary_outcome.time_frame,primary_outcome.measure.1,primary_outcome.time_frame.1,primary_outcome.description,primary_outcome.description.1,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,measure,primary_outcome.measure.2,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,overall_official.affiliation.3,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.time_frame.2,primary_outcome.measure.3,primary_outcome.time_frame.3,primary_outcome.description.2,primary_outcome.description.3,primary_outcome.measure.4,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.measure.5,primary_outcome.time_frame.5,primary_outcome.description.5,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9,overall_official.last_name.10,overall_official.role.10,overall_official.affiliation.10,overall_official.last_name.11,overall_official.role.11,overall_official.affiliation.11,overall_official.last_name.12,overall_official.role.12,overall_official.affiliation.12,overall_official.last_name.13,overall_official.role.13,overall_official.affiliation.13,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,primary_outcome.measure.6,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.measure.7,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,primary_outcome.measure.12,primary_outcome.time_frame.12,primary_outcome.description.12,start_date.text,start_date..attrs,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,sponsors.collaborator.agency.12,sponsors.collaborator.agency_class.12,sponsors.collaborator.agency.13,sponsors.collaborator.agency_class.13,sponsors.collaborator.agency.14,sponsors.collaborator.agency_class.14,primary_outcome.measure.13,primary_outcome.time_frame.13,primary_outcome.description.13,primary_outcome.measure.14,primary_outcome.time_frame.14,primary_outcome.description.14,primary_outcome.measure.15,primary_outcome.time_frame.15,primary_outcome.description.15,primary_outcome.measure.16,primary_outcome.time_frame.16,primary_outcome.description.16,sponsors.collaborator.agency.15,sponsors.collaborator.agency_class.15,sponsors.collaborator.agency.16,sponsors.collaborator.agency_class.16,sponsors.collaborator.agency.17,sponsors.collaborator.agency_class.17,sponsors.collaborator.agency.18,sponsors.collaborator.agency_class.18,sponsors.collaborator.agency.19,sponsors.collaborator.agency_class.19,sponsors.collaborator.agency.20,sponsors.collaborator.agency_class.20,sponsors.collaborator.agency.21,sponsors.collaborator.agency_class.21,sponsors.collaborator.agency.22,sponsors.collaborator.agency_class.22,sponsors.collaborator.agency.23,sponsors.collaborator.agency_class.23,sponsors.collaborator.agency.24,sponsors.collaborator.agency_class.24,sponsors.collaborator.agency.25,sponsors.collaborator.agency_class.25,sponsors.collaborator.agency.26,sponsors.collaborator.agency_class.26,sponsors.collaborator.agency.27,sponsors.collaborator.agency_class.27,sponsors.collaborator.agency.28,sponsors.collaborator.agency_class.28,sponsors.collaborator.agency.29,sponsors.collaborator.agency_class.29,sponsors.collaborator.agency.30,sponsors.collaborator.agency_class.30,sponsors.collaborator.agency.31,sponsors.collaborator.agency_class.31,sponsors.collaborator.agency.32,sponsors.collaborator.agency_class.32,sponsors.collaborator.agency.33,sponsors.collaborator.agency_class.33,address.city,primary_outcome.measure.17,primary_outcome.time_frame.17,primary_outcome.description.17,primary_outcome.measure.18,primary_outcome.time_frame.18,primary_outcome.description.18,primary_outcome.measure.19,primary_outcome.time_frame.19,primary_outcome.description.19,eligibility.gender_based,eligibility.gender_description,primary_outcome.measure.20,primary_outcome.time_frame.20,primary_outcome.description.20,primary_outcome.measure.21,primary_outcome.time_frame.21,primary_outcome.description.21,primary_outcome.measure.22,primary_outcome.time_frame.22,primary_outcome.description.22,primary_outcome.measure.23,primary_outcome.time_frame.23,primary_outcome.description.23,primary_outcome.measure.24,primary_outcome.time_frame.24,primary_outcome.description.24,primary_outcome.measure.25,primary_outcome.time_frame.25,primary_outcome.description.25,primary_outcome.measure.26,primary_outcome.time_frame.26,primary_outcome.description.26
C-030-485,NCT01151189,"Efficacy Against TB Disease, Safety, and Immunogenicity of MVA85A/AERAS-485 in HIV-Infected Adults (C-030-485)","A Phase II, Proof of Concept, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Protective Efficacy Against TB Disease, Safety, and Immunogenicity of MVA85A/AERAS-485 in Healthy, HIV-infected Adults",Completed,Aeras,Souleymane Mboup,Principal Investigator,Robert Wilkinson,Principal Investigator,Phase 2,Interventional,NA,Tuberculosis; HIV Infections,All,18 Years,50 Years,No,Aeras,Other,"ClinicalTrials.gov processed this data on July 27, 2017",September 2014,Actual,Actual,Bernard Landry,Study Director,NA,NA,July 2011,Hopital Aristide Le Dantec,University of Oxford,Other,NA,NA,650,Actual,NA,NA,NA,University of Cape Town,Aeras,Percentage of Participants With Adverse Events,"Adverse Events (AEs) are recorded for 28 days post vaccination, Serious Adverse Events (SAEs) for at least 6 months post second vaccination.",NA,NA,"The primary objective of this study is to evaluate the safety of MVA85A/AERAS-485 compared to placebo in HIV-infected, African adult subjects without active TB disease.",NA,European and Developing Countries Clinical Trials Partnership (EDCTP),Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201010017M,NCT01398618,Comparing Two Preventive Regimens for Latent Tuberculosis Infection (LTBI),Comparing the Efficacy of Two Preventive Regimens for Adult Household Contacts With Latent Tuberculosis Infection,Unknown status,National Taiwan University Hospital,"Jann-Yuan Wang, Ph.D.",Principal Investigator,NA,NA,Phase 3,Interventional,NA,Latent Tuberculosis Infection,All,18 Years,N/A,No,National Taiwan University Hospital,Other,"ClinicalTrials.gov processed this data on July 27, 2017",December 2013,Anticipated,Anticipated,NA,NA,NA,NA,May 2011,Attending Physician,NA,NA,NA,NA,300,Anticipated,NA,NA,NA,NA,NA,Number of Participants developing active tuberculosis,every 6 months for 2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPM1002-ZA-2.12TB,NCT01479972,Study to Evaluate Safety and Immunogenicity of VPM1002 in Comparison With BCG in Newborn Infants in South Africa,"Phase II Open Label, Randomized, Controlled Study to Evaluate Safety and Immunogenicity of VPM1002 in Comparison With BCG in HIV-unexposed, BCG Naive Newborn Infants in South Africa",Completed,Vakzine Projekt Management GmbH,"Mark Cotton, MD, Professor",Principal Investigator,NA,NA,Phase 2,Interventional,NA,Tuberculosis,All,N/A,8 Days,Accepts Healthy Volunteers,Vakzine Projekt Management GmbH,Industry,"ClinicalTrials.gov processed this data on July 27, 2017",November 2012,Actual,Actual,NA,NA,NA,NA,November 2011,"Children's Infectious Diseases Clinical Research Unit (KID-CRU), Tygerberg, South Africa","Children's Infectious Diseases Clinical Research Unit (KID-CRU), South Africa",Other,NA,NA,48,Actual,NA,NA,"Children's Infectious Diseases Clinical Research Unit, Tygerberg Hospital",NA,NA,Safety,Six months,NA,NA,"Safety and tolerability as assessed by monitoring of adverse events (incidence, time profile, other profiles, and including local or regional reactions at the vaccination site), physical examination, vital signs, standard laboratory safety parameters, including haematology, clinical chemistry and urinalysis.",NA,"Triclinium Johannesburg, South Africa",Other,University of Stellenbosch,Other,NA,NA,"HJ-CTC George, South Africa",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F.501(134)/02-EC/MC(Aca)/16713,NCT00834353,Prospective Study of N-acetyltransferase2 (NAT2) and Cytochrome P4502E1 (CYP2E1) Gene as Susceptible Risk Factors for Antituberculosis (ATT) Induced Hepatitis,Prospective Study of N-acetyltransferase2 (NAT2) Gene and Rifampicin Induced Cytochrome P-450 as Susceptible Risk Factors for Antituberculosis Drug Induced Hepatitis,Completed,Maulana Azad Medical College,"Premashis Kar, MD,DM",Principal Investigator,NA,NA,N/A,Observational,NA,Pulmonary Tuberculosis,All,10 Years,70 Years,Accepts Healthy Volunteers,Maulana Azad Medical College,Other,"ClinicalTrials.gov processed this data on July 27, 2017",September 2008,Actual,Actual,NA,NA,NA,NA,September 2005,"Maulana Azad Medical College, Department of Medicine.",NA,NA,NA,NA,NA,NA,Probability Sample,"
        Inclusion Criteria:

          -  Patients with pulmonary tuberculosis

          -  Patients receiving conventional antituberculosis drugs

          -  Patients who directly presented with antituberculosis drug induced hepatitis

        Exclusion Criteria:

          -  Habitual alcohol drinkers

          -  Patients with evidence of viral hepatitis
      ",Premashis Kar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UR-01-2009-IPT-KENYA,NCT00850915,Feasibility and Effectiveness of Community Based Isoniazid Preventive Therapy in Kenya,Feasibility and Effectiveness of Community Based Isoniazid Preventive Therapy in Kenya,Completed,KNCV Tuberculosis Foundation,"Jeremy M Chakaya, MD",Principal Investigator,"Eveline Klinkenberg, PhD",Principal Investigator,Phase 4,Interventional,NA,Tuberculosis,All,15 Years,N/A,Accepts Healthy Volunteers,KNCV Tuberculosis Foundation,Other,"ClinicalTrials.gov processed this data on July 27, 2017",November 2012,Actual,Actual,NA,NA,NA,NA,April 2009,"Centre for Respiratory Diseases Research, Kenya Medical Research Institute",Stichting Mondiale Tuberculose (SMT),Other,NA,NA,1259,Actual,NA,NA,NA,"KNCV Tuberculosis Foundation, the Netherlands",NA,incidence of TB in household contacts,"12, 18, 24 months",NA,NA,NA,NA,Kenya Medical Research Institute,Other,"Division of Leprosy Tuberculosis and Lung Disease, MOPHS, Kenya",Other,NA,NA,"Centres for Disease Control and Prevention, Kenya.",Other,"Ministry of Public Health and Sanitation, Kenya",Other,Kenya National AIDS & STI Control Programme,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPR 005,NCT00620438,"Drug Interaction Between Coartem® and Nevirapine, Efavirenz or Rifampicin in HIV Positive Ugandan Patients","Pharmacokinetic Interaction Between Coartem® and Either Nevirapine, Efavirenz or Rifampicin in HIV Positive Ugandan Patients",Unknown status,Makerere University,"Concepta Merry, PhD",Principal Investigator,NA,NA,Phase 4,Interventional,NA,HIV Infections; Tuberculosis,All,18 Years,60 Years,No,Makerere University,Other,"ClinicalTrials.gov processed this data on July 27, 2017",July 2011,Anticipated,Anticipated,NA,NA,NA,NA,February 2008,Trinity Colleg Dublin,"Health Research Board, Ireland",Other,NA,NA,90,Anticipated,NA,NA,"Infectious Diseases Institute, Makerere University",NA,NA,"Pharmacokinetics of lumefantrine in patients receiving either nevirapine, efavirenz or rifampicin",11 months,NA,NA,NA,NA,NA,NA,NA,NA,"Pharmacokinetics of lumefantrine in patients receiving either nevirapine, efavirenz or rifampicin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB017,NCT00653770,A Phase I Study to Assess the Safety and Immunogenicity of Tuberculosis (TB) Vaccine Candidates FP85A and MVA85A,"A Phase I Study to Assess the Safety and Immunogenicity of New TB Vaccine Candidates FP85A and MVA85A, in Healthy Adults Who Have Previously Been Immunized With BCG, Using a Prime-boost Delivery Schedule",Completed,University of Oxford,Helen McShane,Principal Investigator,NA,NA,Phase 1,Interventional,NA,Tuberculosis,All,18 Years,50 Years,Accepts Healthy Volunteers,University of Oxford,Other,"ClinicalTrials.gov processed this data on July 27, 2017",January 2010,Actual,Actual,NA,NA,NA,NA,September 2007,University of Oxford,NA,NA,NA,NA,31,Actual,NA,NA,"CCVTM, University of Oxford",NA,NA,"To assess the safety of a new tuberculosis vaccine, FP85A, when administered individually and sequentially with MVA85A in a prime-boost regime, to healthy volunteers, who have previously been vaccinated with BCG",3 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-NCHHSTP-5779,NCT01162486,"Pharmacokinetics, Safety and Tolerability of Escalating Rifapentine Doses in Healthy Volunteers","Phase I Dose Escalation Study of the Pharmacokinetics, Safety and Tolerability of Rifapentine and the Effects of Increasing Doses of Rifapentine on Induction of Metabolizing Enzymes in Healthy Volunteers",Completed,Johns Hopkins University,"Kelly Dooley, MD, PhD",Principal Investigator,"Susan Dorman, MD",Principal Investigator,Phase 1,Interventional,NA,"Tuberculosis; Tuberculosis, Pulmonary",All,18 Years,65 Years,Accepts Healthy Volunteers,Johns Hopkins University,Other,"ClinicalTrials.gov processed this data on July 27, 2017",March 2011,Actual,Actual,NA,NA,NA,NA,April 2010,Johns Hopkins University,Sanofi,Industry,NA,NA,37,Actual,NA,NA,Johns Hopkins University,Johns Hopkins Univeristy,NA,Safety,"days: 3, 7, 10, 14, 15, 17, 26",Pharmacokinetics,"days: 2, 3, 7, 10, 15, 16, 17, 18","To determine the safety of escalating doses, from 5 mg/kg to 20 mg/kg of daily rifapentine administered orally for 14 days in healthy volunteers","To determine and compare the steady-state pharmacokinetics and dose linearity of escalating daily doses of rifapentine in dose cohorts of 5 mg/kg, 10 mg/kg, 15 mg/kg and 20 mg/kg in healthy volunteers",Centers for Disease Control and Prevention,U.S. Fed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NVALT12,NCT01171170,Paclitaxel-Carboplatin-Bevacizumab +/- Nitroglycerin in Metastatic Non-Squamous-Non-Small Cell Lung Cancer,A Randomized Phase II Study of Paclitaxel-carboplatin-bevacizumab With or Without Nitroglycerin Patches in Patients With Stage IV Non-squamous-non-small Cell Lung Cancer: NVALT12,Unknown status,Dutch Society of Physicians for Pulmonology and Tuberculosis,"Anne-Marie C. Dingemans, MD PhD",Principal Investigator,NA,NA,Phase 2,Interventional,NA,Non Small Cell Lung Cancer,All,18 Years,N/A,No,Dutch Society of Physicians for Pulmonology and Tuberculosis,Other,"ClinicalTrials.gov processed this data on July 27, 2017",August 2014,Anticipated,Anticipated,NA,NA,NA,NA,September 2010,Maastricht UMC,NA,NA,NA,NA,222,Anticipated,NA,NA,NA,NA,NA,progression free survival,every 6 weeks during chemotherapy,NA,NA,Imaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMID10-0001,NCT01525134,Feasibility of a Lateral Flow Urine Lipoarabinomannan (LAM) Test for Diagnosis of Tuberculosis,Feasibility of Using the Inverness Lateral Flow Urine LAM Test for Diagnosis of Tuberculosis in HIV-Positive TB Suspects,Unknown status,Tuberculosis Clinical Diagnostics Research Consortium,"Susan Dorman, MD",Study Chair,"Yukari Manabe, MD",Principal Investigator,N/A,Interventional,NA,"Tuberculosis; Tuberculosis, Pulmonary; Tuberculosis, Miliary",All,18 Years,N/A,No,Tuberculosis Clinical Diagnostics Research Consortium,Other,"ClinicalTrials.gov processed this data on July 27, 2017",April 2012,Anticipated,Anticipated,NA,NA,NA,NA,January 2011,Johns Hopkins University,Makerere University,Other,NA,NA,504,Actual,NA,NA,NA,"Infectious Diseases Institute, Makerere University, Kampala, Uganda",NA,Sensitivity of the lateral-flow urine LAM assay (LF-LAM),One year,Failure rate of the lateral-flow urine LAM assay,One year,"Conventional TB tests (mycobacterial blood & sputum culture) will be the reference standard used to calculate sensitivity of the LF-LAM test
Sensitivity is defined as TP/(TP+FN), or the number of true positives over (the number of true positives + the number of false negatives)
""true positive"" = a positive LF-LAM result in a patient also having ≥1 culture positive for M. tuberculosis
""false negative"" = a negative LF-LAM result in a patient also having ≥1 culture positive for M. tuberculosis",Failure rate expressed as the proportion of lateral flow urine LAM tests that require repeating due to an unevaluable initial result,NA,NA,NA,NA,NA,Inter-reader variability of the lateral-flow urine LAM assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,One year,Specificity of the lateral-flow urine LAM assay (LF-LAM),One year,Expressed as the percent agreement,"Conventional TB tests (blood & sputum culture) will be the reference standard used to calculate specificity (Sp) of the LF-LAM
Sp=TN/(TN+FP), or #true negatives / (#true negatives + #false positives)
""true negative"" = negative LF-LAM in ""Not TB"" patient
""false positive"" = positive LF-LAM in ""Not TB"" patient
""Not TB"" = meets all criteria below
no sputum/blood culture positive for MTB
no smear microscopy positive for acid-fast bacilli
no granulomas/caseous necrosis on histopathology
no clinical response to TB treatment
a plausible alternative diagnosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
